REF#,id,name,ref,is_company,customer,supplier,parent_id,type,street,street2,zip,city,country_id/id,phone,mobile,fax,email,category_id/id,website,comment
base.res_partner_y003,base.res_partner_011,ยินดีพาณิชย์,Y003,TRUE,TRUE,FALSE,,Default,,อ.เมือง,,นครสวรรค์,base.th,056-221-687,,,,base.res_partner_category_wholesaler,,
base.res_partner_y003,base.res_partner_012,กรุงเทพ (ขนส่ง),Y003,FALSE,TRUE,FALSE,ยินดีพาณิชย์,Shipping,กริชทอง ศูนย์ LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_y001,base.res_partner_013,"วาย เอช ไบซิเคิล, บจก. (หยูฮวด)",Y001,TRUE,TRUE,TRUE,,Default,100/23 ม.7 ซ.ร่วมจิตต์ ถ.บางแวก,แขวงบางไผ่ เขตภาษีเจริญ,10160,กรุงเทพ,base.th,0-2887-0931-4,089-2005925,,,base.res_partner_category_wholesaler,,
base.res_partner_walkin,base.res_partner_014,Walk-in Customers,WALKIN,TRUE,TRUE,FALSE,,Shipping,Raja Cycle,,,สมุทรปราการ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_w013,base.res_partner_015,คุณวิภาดา กิรานุชิตพงศ์,W013,TRUE,TRUE,FALSE,,Shipping,,,,กรุงเทพ,base.th,082-6831881,,,,base.res_partner_category_wholesaler,,
base.res_partner_w012,base.res_partner_016,"วัฒนพานิช, อยุธยา",W012,TRUE,TRUE,FALSE,,Default,51-53 หน้าวัดประสาท ถ.อู่ทอง,ต.หอรัตนไชย อ.พระนครศรีอยุธยา,,พระนครศรีอยุธยา,base.th,0-3525-1919,"0-3523-1909, 081-804-7016",,,base.res_partner_category_wholesaler,,
base.res_partner_w012,base.res_partner_017,กรุงเทพ (ขนส่ง),W012,FALSE,TRUE,FALSE,"วัฒนพานิช, อยุธยา",Shipping,แต้พังเฮง ซ.สนามกีฬา,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,081-995-4835,,,,base.res_partner_category_wholesaler,,
base.res_partner_w011,base.res_partner_018,วัชระธุรกิจ,W011,TRUE,TRUE,FALSE,,Default,อ.ป่าซาง ตรงข้าม รพ.ป่าซาง,,51000,ลำพูน,base.th,053-555151,,,,base.res_partner_category_wholesaler,,
base.res_partner_w011,base.res_partner_019,กรุงเทพ (ขนส่ง),W011,FALSE,TRUE,FALSE,วัชระธุรกิจ,Shipping,นิ่มซี่เส็ง สาย 2,ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2448-2890-2,,,,base.res_partner_category_wholesaler,,
base.res_partner_w010,base.res_partner_020,"วรรณา, ร้าน",W010,TRUE,TRUE,FALSE,,Default,78 ถ.แดงทองดี,ต.ตะพานหิน อ.ตะพานหิน,66110,พิจิตร,base.th,0-5662-3619,086-678-6921,,,base.res_partner_category_wholesaler,,
base.res_partner_w010,base.res_partner_021,กรุงเทพ (ขนส่ง),W010,FALSE,TRUE,FALSE,"วรรณา, ร้าน",Shipping,รุ่งเรืองกิจเจริญ ซ.24,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2885-8119-20,,,,base.res_partner_category_wholesaler,,
base.res_partner_w009,base.res_partner_022,ต้นบุญ(วิทวัสจักรยาน),W009,TRUE,TRUE,FALSE,,Default,258 ม.3,ต.บ้านแท่น อ.บ้านแท่น,,ชัยภูมิ,base.th,0-4488-6358,,,,base.res_partner_category_wholesaler,,
base.res_partner_w009,base.res_partner_023,กรุงเทพ (ขนส่ง),W009,FALSE,TRUE,FALSE,ต้นบุญ(วิทวัสจักรยาน),Shipping,ภูเขียวรุ่งเรือง ซ.1 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2888-0816,,,,base.res_partner_category_wholesaler,,
base.res_partner_w008,base.res_partner_024,วีระพาณิชย์,W008,TRUE,TRUE,FALSE,,Default,,อ.อุทุมพรพิสัย,,ศรีสะเกษ,base.th,0-469-1299,,,,base.res_partner_category_wholesaler,,
base.res_partner_w008,base.res_partner_025,กรุงเทพ (ขนส่ง),W008,FALSE,TRUE,FALSE,วีระพาณิชย์,Shipping,โชคเจ้าสัว กระทุ่มล้ม,สาย 4 ถ.พุทธมณฑล,,กรุงเทพ,base.th,086-079-3141,,,,base.res_partner_category_wholesaler,,
base.res_partner_w007,base.res_partner_026,"วรรณ, คุณ",W007,TRUE,TRUE,FALSE,,Default,124/14 ถ.ศรีจันทร์,ต.ในเมือง อ.เมือง,40000,ขอนแก่น,base.th,0-4027-5968,,,,base.res_partner_category_wholesaler,,
base.res_partner_w006,base.res_partner_027,"วิโรจน์วัฒนา, ร้าน",W006,TRUE,TRUE,FALSE,,Default,9/1. ถ.นรินทร์รักษ์,อ.บางมูลนาก,66120,พิจิตร,base.th,0-5663-1176,,,,base.res_partner_category_wholesaler,,
base.res_partner_w005,base.res_partner_028,วัฒนาจักรยาน,W005,TRUE,TRUE,FALSE,,Default,1031 ตลาดศูนย์การค้า ถ.สุววณศร,อ.วัฒนานคร,,สระแก้ว,base.th,0-3726-1025,,,,base.res_partner_category_wholesaler,,
base.res_partner_w004,base.res_partner_029,วิบูลย์ภัณฑ์ (สายฟ้า),W004,TRUE,TRUE,FALSE,,Default,23 ถ.สุวรรณสามัคคี,ต.ลาดยาว อ.ลาดยาว,60000,นครสวรรค์,base.th,0-5627-1094,086-888-4564,,,base.res_partner_category_wholesaler,,
base.res_partner_w004,base.res_partner_030,กรุงเทพ (ขนส่ง),W004,FALSE,TRUE,FALSE,วิบูลย์ภัณฑ์ (สายฟ้า),Shipping,เคเอสดี สนามกีฬา ซ.29,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,,086-888-4564,,,base.res_partner_category_wholesaler,,
base.res_partner_w003,base.res_partner_031,วิทยาพานิช,W003,TRUE,TRUE,FALSE,,Default,8/7. ถ.ศรีมาลา,อ.เมือง,66000,พิจิตร,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_w003,base.res_partner_032,กรุงเทพ (ขนส่ง),W003,FALSE,TRUE,FALSE,วิทยาพานิช,Shipping,รุ่งเรืองกิจเจริญ ซ.24,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2885-8119-20,,,,base.res_partner_category_wholesaler,,
base.res_partner_w002,base.res_partner_033,ว.การช่าง,W002,TRUE,TRUE,FALSE,,Default,144/8 ถ.พิทักษ์พนมเขต,ต.นาแก อ.นาแก,48130,นครพนม,base.th,0-4257-1213,,,,base.res_partner_category_wholesaler,,
base.res_partner_w001,base.res_partner_034,วัฒน์กลการ,W001,TRUE,TRUE,FALSE,,Default,259/259-5 ถ.มหาดไทยบำรุง,ต.ระแหง อ.เมือง,63000,ตาก,base.th,0-5551-4836,,,,base.res_partner_category_wholesaler,,
base.res_partner_w001,base.res_partner_035,กรุงเทพ (ขนส่ง),W001,FALSE,TRUE,FALSE,วัฒน์กลการ,Shipping,ตากน้ำทิพย์ สาย 2,24 พุทธมณฑล,,กรุงเทพ,base.th,0-2885-8169,,,,base.res_partner_category_wholesaler,,
base.res_partner_v006,base.res_partner_036,ร้านวังม่วง เอ็กซ์เพรส,V006,TRUE,TRUE,FALSE,,Default,62/6 หมู่ 7 ต.คำพราน,อ.วังม่วง,18220,สระบุรี,base.th,036-3641457,,,,base.res_partner_category_wholesaler,,
base.res_partner_v005,base.res_partner_037,เวนิส,V005,TRUE,TRUE,FALSE,,Default,144 เอเชีย 18 อ.สุไหงโกลก,,96120,นราธิวาส,base.th,0-7361-1523,,,,base.res_partner_category_wholesaler,,
base.res_partner_v005,base.res_partner_038,กรุงเทพ (ขนส่ง),V005,FALSE,TRUE,FALSE,เวนิส,Shipping,ฉลองชัย ซ.24,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2885-8410-2,,,,base.res_partner_category_wholesaler,,
base.res_partner_v004,base.res_partner_039,"วี.ที.เว็นเท็กซ์, หจก.",V004,TRUE,TRUE,TRUE,,Default,511/70-71 ตรอกจันทร์ใน ถ.เจริญกรุง,แขวงบางโคล่ เขตบางคอแหลม,,กรุงเทพ,base.th,0-2291-7500,,,,base.res_partner_category_wholesaler,,
base.res_partner_v003,base.res_partner_040,วี.เอส.ไซเคิล,V003,TRUE,TRUE,FALSE,,Default,124/1458 ซ.เรวดี 14,ถ.ติวานนท์ อ.เมือง,,นนทบุรี,base.th,0-2591-5186-7,,,,base.res_partner_category_wholesaler,,
base.res_partner_v002,base.res_partner_041,"วิคตอรี่ไซเคิล, บจก.",V002,TRUE,TRUE,FALSE,,Default,176/1 ม.2 ซ.ผูกมิตร ถ.ปู่เจ้าสมิงพราย,ต.สำโรงใต้ อ.พระประแดง,,สมุทรปราการ,base.th,0-2394-6481,0-2384-6935-6,,,base.res_partner_category_wholesaler,,
base.res_partner_u002,base.res_partner_042,"อุดมจักรยาน, ร้าน",U002,TRUE,TRUE,FALSE,,Default,40/404 ซ.เอกชัย 76 แขวงบางบอน,เขตบางบอน,10150,กรุงเทพ,base.th,0-2894-3958,,,,base.res_partner_category_wholesaler,,
base.res_partner_t047,base.res_partner_043,"แอ็ปเปิ้ล ไบค์, ร้าน",T047,TRUE,TRUE,FALSE,,Default,36 ถ.สุขุมวิท,ต.ปากน้ำ อ.เมือง,10270,สมุทรปราการ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t046,base.res_partner_044,"ทวีกุล อุตสาหกรรม, บจก.",T046,TRUE,TRUE,FALSE,,Default,76/4 ม.3 ถ.เทพารักษ์,ต.บางพลีใหญ่ อ.เมือง,10540,สมุทรปราการ,base.th,0-2385-5212,0-2757-4877-8,,,base.res_partner_category_wholesaler,,
base.res_partner_t045,base.res_partner_045,"ทิพย์อะไหล่มาบตาพุด,ร้าน",T045,TRUE,TRUE,FALSE,,Default,38/1 ถ.สุขุมวิท,ต.มาบตาพุต อ.เมือง,21150,ระยอง,base.th,085-179-3167,,,,base.res_partner_category_wholesaler,,
base.res_partner_t045,base.res_partner_046,กรุงเทพ (ขนส่ง),T045,FALSE,TRUE,FALSE,"ทิพย์อะไหล่มาบตาพุด,ร้าน",Shipping,พรจิต(นิวขวานเพชร),,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t044,base.res_partner_047,"ไทย คาร์ โชว์ ออโตโมทีฟ โปรดักส์, บจก.",T044,TRUE,TRUE,FALSE,,Default,"35/232,35/233 ม.2 ถ.เอกชัย",ต.บางน้ำจืด อ.เมือง,74000,สมทรสาคร,base.th,0-3482-4387-9,,,,base.res_partner_category_wholesaler,,
base.res_partner_t043,base.res_partner_048,"ไทยเจริญจักรยาน,ลำปลายมาศ",T043,TRUE,TRUE,FALSE,,Default,211 ม.3 บ้านหนองแสง ต.ลำปลายมาศ,อ.ลำปลายมาศ,31130,บุรีรัมย์,base.th,083-799-9336,,,,base.res_partner_category_wholesaler,,
base.res_partner_t043,base.res_partner_049,กรุงเทพ (ขนส่ง),T043,FALSE,TRUE,FALSE,"ไทยเจริญจักรยาน,ลำปลายมาศ",Shipping,พนมรุ้ง ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2888-1684,,,,base.res_partner_category_wholesaler,,
base.res_partner_t042,base.res_partner_050,"ที เอ็น ธนพันธ์, หจก.",T042,TRUE,TRUE,FALSE,,Default,337/58 ม.3 ต.บางรักพัฒนา,อ.บางบัวทอง,,นนทบุรี,base.th,087-028-4224,,,,base.res_partner_category_wholesaler,,
base.res_partner_t040,base.res_partner_051,ไทยเจริญจักรยาน 2 (บน),T040,TRUE,TRUE,FALSE,,Default,185/6-8 ม.9 ถ.ชวลิต,อ.กุมภวาปี,41110,อุดรธานี,base.th,0-4233-1242,08-1872-3775,,,base.res_partner_category_wholesaler,,
base.res_partner_t040,base.res_partner_052,กรุงเทพ (ขนส่ง),T040,FALSE,TRUE,FALSE,ไทยเจริญจักรยาน 2 (บน),Shipping,รุ่งเรือง ม.ขุมทรัพย์นคร,3 สาย 3 พุทธมณฑล,,กรุงเทพ,base.th,08-1471-3433,08-3146-7070,,,base.res_partner_category_wholesaler,,
base.res_partner_t039,base.res_partner_053,อ.บ.ต.เทพารักษ์ใหม่,T039,TRUE,TRUE,FALSE,,Default,เทพารักษ์,,,สมุทรปราการ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t038,base.res_partner_054,เทศบาลเมืองนครพนม,T038,TRUE,TRUE,FALSE,,Default,สำนักงานเทศบาลเมืองนครพนม ถ.อภิบาลบัญชา,อ.เมือง,48000,นครพนม,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t037,base.res_partner_055,"ตากภัทรกิจ, ร้าน",T037,TRUE,TRUE,FALSE,,Default,41023 ถ.มหาดไทยบำรุง,อ.เมือง,,ตาก,base.th,0-5554-1980,086-448-1704,,,base.res_partner_category_wholesaler,,
base.res_partner_t037,base.res_partner_056,กรุงเทพ (ขนส่ง),T037,FALSE,TRUE,FALSE,"ตากภัทรกิจ, ร้าน",Shipping,ตากน้ำทิพย์ ซ.24,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2885-8169,,,,base.res_partner_category_wholesaler,,
base.res_partner_t036,base.res_partner_057,"Tiger Motor Co., Ltd.",T036,TRUE,TRUE,FALSE,,Default,500 ม.8 ต.ท้ายบ้านใหม่,อ.เมือง,10280,สมุทรปราการ,base.th,0-2388-0868 ต่อ 250,,,,base.res_partner_category_wholesaler,,
base.res_partner_t035,base.res_partner_058,เทพนิรมิต,T035,TRUE,TRUE,FALSE,,Default,23 ถ.เปรมประชา,ต.หน้าเมือง อ.เมือง,24000,ฉะเชิงเทรา,base.th,0-3851-2979,,,,base.res_partner_category_wholesaler,,
base.res_partner_t034,base.res_partner_059,เทพเพิ่มพูนทรัพย์,T034,TRUE,TRUE,FALSE,,Default,42/249 ม.5 ซ.เนินพลับหวาน 39/1,ต.หนองปรือ อ.บางละมุง,20260,ชลบุรี,base.th,0-3840-6170,085-103-8829,,,base.res_partner_category_wholesaler,,
base.res_partner_t033,base.res_partner_060,"เทพเจริญทรัพย์, ร้าน",T033,TRUE,TRUE,FALSE,,Default,1548-50 ถ.เทพคุนากรณ์,ต.หน้าเมือง อ.เมือง,24000,ฉะเชิงเทรา,base.th,0-3882-0277,086-344-2978,,,base.res_partner_category_wholesaler,,
base.res_partner_t033,base.res_partner_061,กรุงเทพ (ขนส่ง),T033,FALSE,TRUE,FALSE,"เทพเจริญทรัพย์, ร้าน",Shipping,เกื้อกูล ซ.รวมโชค,สาย 3 พุทธมณฑล,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t032,base.res_partner_062,เทพศิลป์,T032,TRUE,TRUE,FALSE,,Default,153 ถ.ศรีเมือง,อ.ตะกั่วป่า,,พังงา,base.th,0-7642-1237,,,,base.res_partner_category_wholesaler,,
base.res_partner_t032,base.res_partner_063,กรุงเทพ (ขนส่ง),T032,FALSE,TRUE,FALSE,เทพศิลป์,Shipping,นิวตะกั่วป่า ซ.95,เอกชัย-บางบอน ถ.กาญจนาภิเษก,,กรุงเทพ,base.th,02-416-5951-2,,,,base.res_partner_category_wholesaler,,
base.res_partner_t031,base.res_partner_064,ไทยเจริญจักรยาน (ล่าง),T031,TRUE,TRUE,FALSE,,Default,133-134 ถ.แชแล,ต.กุมภวาปี อ.กุมภวาปี,41100,อุดรธานี,base.th,0-4220-2383,,,,base.res_partner_category_wholesaler,,
base.res_partner_t031,base.res_partner_065,กรุงเทพ (ขนส่ง),T031,FALSE,TRUE,FALSE,ไทยเจริญจักรยาน (ล่าง),Shipping,รุ่งเรือง ซ.3 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,base.th,081-471-3433,083-146-7070,,,base.res_partner_category_wholesaler,,
base.res_partner_t030,base.res_partner_066,ต้อยจักรยาน,T030,TRUE,TRUE,FALSE,,Default,119 ถ.พรรณนา,อ.เมือง,,กาฬสินธุ์,base.th,0-4382-1278,,,,base.res_partner_category_wholesaler,,
base.res_partner_t030,base.res_partner_067,กรุงเทพ (ขนส่ง),T030,FALSE,TRUE,FALSE,ต้อยจักรยาน,Shipping,ส.แก่นนครพัฒนา ศูนย์ขนส่ง 1,บางแวก ถ.กาญจนาภิเษก,,กรุงเทพ,base.th,0-2410-3423,,,,base.res_partner_category_wholesaler,,
base.res_partner_t029,base.res_partner_068,ทรงวิจิตร,T029,TRUE,TRUE,FALSE,,Default,37 ถ.ราชดำเนิน,ต.พระปฐมเจดีย์ อ.เมือง,70000,นครปฐม,base.th,0-3424-4414,087-931-0757,,,base.res_partner_category_wholesaler,,
base.res_partner_t027,base.res_partner_069,ถาวร สวีแพทย์,T027,TRUE,TRUE,FALSE,,Default,,อ.เมือง,,ชุมพร,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t027,base.res_partner_070,กรุงเทพ (ขนส่ง),T027,FALSE,TRUE,FALSE,ถาวร สวีแพทย์,Shipping,ปรีดาภาคใต้ ศูนย์ขนส่ง 1,บางแวก ถ.กาญจนาภิเษก,,กรุงเทพ,base.th,0-2410-3420,0-2410-3174,,,base.res_partner_category_wholesaler,,
base.res_partner_t026,base.res_partner_071,"ทีพีไอ โพลีน, บจก.(มหาชน)",T026,TRUE,TRUE,FALSE,,Default,อาคาร ที พี ไอ ทาวเวอร์ 26/56 ถ.จันทน์ตัดใหม่,แขวงทุ่งมหาเมฆ เขตสาทร,10120,กรุงเทพ,base.th,0-2213-1039,0-2285-5090 ต่อ 12460,,,base.res_partner_category_wholesaler,,
base.res_partner_t025,base.res_partner_072,"Thai Bicycle Industry Co., Ltd.",T025,TRUE,TRUE,FALSE,,Default,42 ม.4 ซ.เกิดเอี่ยม ถ.ปู่เจ้าสมิงพราย,สำโรงกลาง อ.พระประแดง,,สมุทรปราการ,base.th,0-2394-4416-20,,,,base.res_partner_category_wholesaler,,
base.res_partner_t023,base.res_partner_073,ทิพย์จักรยาน,T023,TRUE,TRUE,FALSE,,Default,38/1-2 ถ.สุขุมวิท,ต.มาบตาพุต อ.เมือง,,ระยอง,base.th,0-3869-2050,0-5179-3176,,,base.res_partner_category_wholesaler,,
base.res_partner_t023,base.res_partner_074,กรุงเทพ (ขนส่ง),T023,FALSE,TRUE,FALSE,ทิพย์จักรยาน,Shipping,พรจิต(นิวขวานเพชร),,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t022,base.res_partner_075,ไทยสมบูรณ์,T022,TRUE,TRUE,FALSE,,Default,549/1 ถ.ราษฎร์สำราญ,ต.บ้านแท่น อ.บ้านแท่น,,ชัยภูมิ,base.th,0-4488-7056,,,,base.res_partner_category_wholesaler,,
base.res_partner_t021,base.res_partner_076,"ไทยฮงฮวด 300, ร้าน",T021,TRUE,TRUE,FALSE,,Default,300 ม.1 ต.ท่าตะโก,อ.ท่าตะโก,,นครสวรรค์,base.th,0-5624-9054,,,,base.res_partner_category_wholesaler,,
base.res_partner_t019,base.res_partner_077,ทรูมิตรจักรยาน,T019,TRUE,TRUE,FALSE,,Default,236/7 ถ.บ้านดอน,อ.เมือง,84000,สุราษฎร์ธานี,base.th,0-7727-3748,,,,base.res_partner_category_wholesaler,,
base.res_partner_t019,base.res_partner_078,กรุงเทพ (ขนส่ง),T019,FALSE,TRUE,FALSE,ทรูมิตรจักรยาน,Shipping,กรุงเทพปักษ์ใต้ ศูนย์ขนส่ง 1,บางแวก ถ.กาญจนาภิเษก,,กรุงเทพ,base.th,0-2410-3359,0-2410-4089,,,base.res_partner_category_wholesaler,,
base.res_partner_t018,base.res_partner_079,เตียตังเฮง-เพชรบุรี,T018,TRUE,TRUE,FALSE,,Default,106 ถ.มาตยาวงศ์,ต.ท่าลาบ อ.เมือง,76000,เพชรบุรี,base.th,0-3242-5382,,,,base.res_partner_category_wholesaler,,
base.res_partner_t017,base.res_partner_080,เตียบ้วนสุน,T017,TRUE,TRUE,FALSE,,Default,315-317 ถ. เจ้าสำอาง,อ. กบินบุรี,,ปราจีนบุรี,base.th,0-3720-5540,,,,base.res_partner_category_wholesaler,,
base.res_partner_t016,base.res_partner_081,"ธนาชัย, ร้าน",T016,TRUE,TRUE,FALSE,,Default,482/3 ต.เวียง,อ.เมือง,,เชียงราย,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t015,base.res_partner_082,ตั้งบุญรักษ์,T015,TRUE,TRUE,FALSE,,Default,,อ.เมือง,,พัทลุง,base.th,0-7461-3155,,,,base.res_partner_category_wholesaler,,
base.res_partner_t015,base.res_partner_083,กรุงเทพ (ขนส่ง),T015,FALSE,TRUE,FALSE,ตั้งบุญรักษ์,Shipping,คงกะพัน ซ.5 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2888-2080,,,,base.res_partner_category_wholesaler,,
base.res_partner_t014,base.res_partner_084,ไทยฮวด,T014,TRUE,TRUE,FALSE,,Default,4/66-68 ถ.สุชาดา,อ.เมือง,60000,นครสวรรค์,base.th,0-5631-4345,081-675-6110,,,base.res_partner_category_wholesaler,,
base.res_partner_t014,base.res_partner_085,กรุงเทพ (ขนส่ง),T014,FALSE,TRUE,FALSE,ไทยฮวด,Shipping,กริชทอง ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2887-4655-6,,,,base.res_partner_category_wholesaler,,
base.res_partner_t013,base.res_partner_086,ทศพรเฟอร์นิเจอร์,T013,TRUE,TRUE,FALSE,,Default,1263 ม.1 ต.บรบือ,อ.บรบือ,44130,มหาสารคาม,base.th,0-4377-0485,081-975-4868,,,base.res_partner_category_wholesaler,,
base.res_partner_t010,base.res_partner_087,ไทยเกษม,T010,TRUE,TRUE,FALSE,,Default,,,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_t009,base.res_partner_088,"เทพาชัย, หจก.",T009,TRUE,TRUE,FALSE,,Default,19/2 ม.13 ถ.บางพลี-กิ่งแก้ว,ต.บางพลีใหญ่ อ.บางพลี,10540,สมุทรปราการ,base.th,0-2751-0797,081-870-3530,,,base.res_partner_category_wholesaler,,
base.res_partner_t008,base.res_partner_089,"ธำรงรัตน์, ร้าน",T008,TRUE,TRUE,TRUE,,Default,94/1262 ม.4 ถ.เพชรเกษม,แขวงบางแคเหนือ เขตบางแค,,กรุงเทพ,base.th,0-2806-0241-5,086-317-2987,,,base.res_partner_category_wholesaler,,
base.res_partner_t007,base.res_partner_090,"ที แอนด์ พี อินดัสเตรียล(กรุงเทพฯ) 1996, บจก",T007,TRUE,TRUE,FALSE,,Default,78/8 ม.5 ต.ท่าข้าม,อ.บางปะกอก,,ฉะเชิงเทรา,base.th,0-3857-4135-6,,,,base.res_partner_category_wholesaler,,
base.res_partner_t006,base.res_partner_091,เทพรัตนมงคล,T006,TRUE,TRUE,FALSE,,Default,131/2 ม.14 ถ.กิ่งแก้วลาดกระบัง,ต.ราชาเทวะ อ.บางพลี,10540,สมุทรปราการ,base.th,0-2738-3822-23,,,,base.res_partner_category_wholesaler,,
base.res_partner_t005,base.res_partner_092,เท็นจักรยาน,T005,TRUE,TRUE,FALSE,,Default,มหาชัยเมืองใหม่,,,สมุทรสาคร,base.th,0-3481-2572,081-018-8344,,,base.res_partner_category_wholesaler,,
base.res_partner_t004,base.res_partner_093,ท่าพระจักรยาน,T004,TRUE,TRUE,FALSE,,Default,196/28-29 ถ.เพชรเกษม วัดท่าพระ,เขตบางกอกใหญ่,,กรุงเทพ,base.th,0-2457-3267,,,,base.res_partner_category_wholesaler,,
base.res_partner_t002,base.res_partner_094,ตั้งย่งฮวด,T002,TRUE,TRUE,FALSE,,Default,14/35 ถ.เพชรบุรี,แขวงถนนเพชรบุรี เขตราชเทวี,,กรุงเทพ,base.th,0-2215-7784,081-9364043,,,base.res_partner_category_wholesaler,,
base.res_partner_t001,base.res_partner_095,ต.ตงเซ้ง,T001,TRUE,TRUE,FALSE,,Default,137/3 ม.9 ถ.เพชรเกษม 91,ต.สวนหลวง อ.กระทุ่มแบน,74110,สมุทรสาคร,base.th,0-2420-8031-2,,,,base.res_partner_category_wholesaler,,
base.res_partner_s119,base.res_partner_096,สำนักงานเหล่ากาชาดจังหวัดนครสวรรค์,S119,TRUE,TRUE,FALSE,,Default,400/95 ถนนสวรรค์วิถี อ.เมือง,,,นครสวรรค์,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_s118,base.res_partner_097,สำนักงานวัฒนธรรมจังหวัดพิษณุโลก,S118,TRUE,TRUE,FALSE,,Default,ถนนวังจันทร์ ตำบลในเมือง อำเภอเมือง,,65000,พิษณุโลก,base.th,,,,,base.res_partner_category_wholesaler,,
